"h","baseline_median","forecast_sd","conditioned_value","scenario_var","scenario_label"
10,20.3909486665989,3.51329396546968,23.9042426320686,"IVIUK","IVIUK (UK) +1 Forecast SD"
11,20.1932432022991,3.56280830395871,23.7560515062578,"IVIUK","IVIUK (UK) +1 Forecast SD"
12,20.0153701902442,3.58299113560262,23.5983613258469,"IVIUK","IVIUK (UK) +1 Forecast SD"
13,19.853966034277,3.6170821277922,23.4710481620692,"IVIUK","IVIUK (UK) +1 Forecast SD"
14,19.714635997779,3.65831308169804,23.3729490794771,"IVIUK","IVIUK (UK) +1 Forecast SD"
15,19.6142552019223,3.71820086166214,23.3324560635844,"IVIUK","IVIUK (UK) +1 Forecast SD"
16,19.4377868663199,3.6715018940745,23.1092887603944,"IVIUK","IVIUK (UK) +1 Forecast SD"
17,19.2635371324106,3.70335684958607,22.9668939819967,"IVIUK","IVIUK (UK) +1 Forecast SD"
18,19.1743594252491,3.7222850738443,22.8966444990934,"IVIUK","IVIUK (UK) +1 Forecast SD"
19,19.0462074943502,3.7296728624325,22.7758803567827,"IVIUK","IVIUK (UK) +1 Forecast SD"
20,18.8893392372917,3.72881279453423,22.618152031826,"IVIUK","IVIUK (UK) +1 Forecast SD"
1,42.3041573577968,3.43123113799216,45.735388495789,"VNKY","VNKY (Japan) +1 Forecast SD"
2,42.810049528893,3.41450857092541,46.2245580998184,"VNKY","VNKY (Japan) +1 Forecast SD"
3,40.2890975770582,3.49502582464821,43.7841234017064,"VNKY","VNKY (Japan) +1 Forecast SD"
4,40.5107566622419,3.50200703493534,44.0127636971773,"VNKY","VNKY (Japan) +1 Forecast SD"
5,40.2633134793699,3.5175359836679,43.7808494630378,"VNKY","VNKY (Japan) +1 Forecast SD"
6,39.3957854239717,3.52052418801062,42.9163096119823,"VNKY","VNKY (Japan) +1 Forecast SD"
7,38.9581048021532,3.5538850846562,42.5119898868094,"VNKY","VNKY (Japan) +1 Forecast SD"
8,38.3037465458231,3.57960769322709,41.8833542390502,"VNKY","VNKY (Japan) +1 Forecast SD"
9,37.788419666284,3.55653920509548,41.3449588713795,"VNKY","VNKY (Japan) +1 Forecast SD"
10,37.2727555988175,3.61817463062389,40.8909302294414,"VNKY","VNKY (Japan) +1 Forecast SD"
11,36.73470744614,3.62366917984374,40.3583766259837,"VNKY","VNKY (Japan) +1 Forecast SD"
12,36.3283416022985,3.676970768,40.0053123702984,"VNKY","VNKY (Japan) +1 Forecast SD"
13,35.8777203664406,3.66450504151303,39.5422254079536,"VNKY","VNKY (Japan) +1 Forecast SD"
14,35.3786321076471,3.74097864556285,39.11961075321,"VNKY","VNKY (Japan) +1 Forecast SD"
15,34.9958041314075,3.72386002430695,38.7196641557144,"VNKY","VNKY (Japan) +1 Forecast SD"
16,34.5534822537157,3.75884780854799,38.3123300622637,"VNKY","VNKY (Japan) +1 Forecast SD"
17,34.1267784470916,3.75079776844828,37.8775762155399,"VNKY","VNKY (Japan) +1 Forecast SD"
