"h","baseline_median","forecast_sd","conditioned_value","scenario_var","scenario_label"
16,34.3675670403175,3.76500114721189,38.1325681875294,"VNKY","VNKY (Japan) +1 Forecast SD"
17,33.9420072051961,3.78980830462965,37.7318155098258,"VNKY","VNKY (Japan) +1 Forecast SD"
18,33.5787293832623,3.82814745289361,37.4068768361559,"VNKY","VNKY (Japan) +1 Forecast SD"
19,33.1757628940625,3.87486334875477,37.0506262428173,"VNKY","VNKY (Japan) +1 Forecast SD"
20,32.8584262963877,3.85192264516464,36.7103489415523,"VNKY","VNKY (Japan) +1 Forecast SD"
1,25.5671026801046,2.56817942994371,28.1352821100483,"VHSI","VHSI (Hong Kong) +1 Forecast SD"
2,25.3786348132942,2.58731375210538,27.9659485653996,"VHSI","VHSI (Hong Kong) +1 Forecast SD"
3,24.3840790542749,2.59789029068116,26.9819693449561,"VHSI","VHSI (Hong Kong) +1 Forecast SD"
4,24.5046001988151,2.61935789302585,27.123958091841,"VHSI","VHSI (Hong Kong) +1 Forecast SD"
5,24.2665458758104,2.60551029689762,26.872056172708,"VHSI","VHSI (Hong Kong) +1 Forecast SD"
6,24.0585822407035,2.64703041859141,26.7056126592949,"VHSI","VHSI (Hong Kong) +1 Forecast SD"
7,23.8292104165159,2.65685991239719,26.4860703289131,"VHSI","VHSI (Hong Kong) +1 Forecast SD"
8,23.5320928458557,2.72803530958965,26.2601281554453,"VHSI","VHSI (Hong Kong) +1 Forecast SD"
9,23.262301220249,2.69432875607737,25.9566299763263,"VHSI","VHSI (Hong Kong) +1 Forecast SD"
10,23.1643429447023,2.70935287570073,25.873695820403,"VHSI","VHSI (Hong Kong) +1 Forecast SD"
11,22.8917870500065,2.76450147265553,25.656288522662,"VHSI","VHSI (Hong Kong) +1 Forecast SD"
12,22.6887721303946,2.77279460499177,25.4615667353863,"VHSI","VHSI (Hong Kong) +1 Forecast SD"
13,22.512367120382,2.78908729172541,25.3014544121075,"VHSI","VHSI (Hong Kong) +1 Forecast SD"
14,22.3324764738251,2.82376724012348,25.1562437139486,"VHSI","VHSI (Hong Kong) +1 Forecast SD"
15,22.1787637189446,2.85090678697204,25.0296705059167,"VHSI","VHSI (Hong Kong) +1 Forecast SD"
16,21.9883794226562,2.88237625657383,24.87075567923,"VHSI","VHSI (Hong Kong) +1 Forecast SD"
17,21.8263360393758,2.89780034487704,24.7241363842529,"VHSI","VHSI (Hong Kong) +1 Forecast SD"
18,21.6743598297161,2.88758784655046,24.5619476762666,"VHSI","VHSI (Hong Kong) +1 Forecast SD"
19,21.525269744088,2.95216805562836,24.4774377997164,"VHSI","VHSI (Hong Kong) +1 Forecast SD"
20,21.4252657063031,2.94305858293827,24.3683242892414,"VHSI","VHSI (Hong Kong) +1 Forecast SD"
1,26.3642685919221,1.43159331449917,27.7958619064213,"INVIXN","INVIXN (India) +1 Forecast SD"
2,26.6195879830296,1.45183609286712,28.0714240758967,"INVIXN","INVIXN (India) +1 Forecast SD"
3,25.7491184439251,1.46170396582419,27.2108224097493,"INVIXN","INVIXN (India) +1 Forecast SD"
4,25.5001688971903,1.47920844302971,26.97937734022,"INVIXN","INVIXN (India) +1 Forecast SD"
5,25.351792802437,1.49100855190807,26.8428013543451,"INVIXN","INVIXN (India) +1 Forecast SD"
6,25.0298810221068,1.53710716624157,26.5669881883484,"INVIXN","INVIXN (India) +1 Forecast SD"
7,24.7813296241487,1.53364749790402,26.3149771220527,"INVIXN","INVIXN (India) +1 Forecast SD"
8,24.4797661627415,1.57838271305789,26.0581488757994,"INVIXN","INVIXN (India) +1 Forecast SD"
9,24.209766776607,1.5972641737159,25.8070309503229,"INVIXN","INVIXN (India) +1 Forecast SD"
10,23.9968082589324,1.62352766852307,25.6203359274555,"INVIXN","INVIXN (India) +1 Forecast SD"
11,23.7141946169243,1.66969986099822,25.3838944779225,"INVIXN","INVIXN (India) +1 Forecast SD"
12,23.487988701542,1.69491575208571,25.1829044536277,"INVIXN","INVIXN (India) +1 Forecast SD"
13,23.2763716466098,1.71258869563636,24.9889603422462,"INVIXN","INVIXN (India) +1 Forecast SD"
14,23.0372253380744,1.77135684124017,24.8085821793146,"INVIXN","INVIXN (India) +1 Forecast SD"
15,22.8257558340686,1.78618030078224,24.6119361348508,"INVIXN","INVIXN (India) +1 Forecast SD"
16,22.6096377066778,1.82060281267282,24.4302405193507,"INVIXN","INVIXN (India) +1 Forecast SD"
17,22.3461216964229,1.86053088032422,24.2066525767471,"INVIXN","INVIXN (India) +1 Forecast SD"
18,22.1950162076268,1.85981939683017,24.0548356044569,"INVIXN","INVIXN (India) +1 Forecast SD"
19,21.9876398556687,1.94666684967936,23.9343067053481,"INVIXN","INVIXN (India) +1 Forecast SD"
20,21.7657171922502,1.9389520537878,23.704669246038,"INVIXN","INVIXN (India) +1 Forecast SD"
