"h","baseline_median","forecast_sd","conditioned_value","scenario_var","scenario_label"
12,25.4822424767516,4.21141764425497,29.6936601210066,"V2X","V2X (Euro Area) +1 Forecast SD"
13,25.3171907563343,4.33729027995036,29.6544810362846,"V2X","V2X (Euro Area) +1 Forecast SD"
14,25.1572428363367,4.29242428216843,29.4496671185051,"V2X","V2X (Euro Area) +1 Forecast SD"
15,24.9390394074208,4.32362083634223,29.262660243763,"V2X","V2X (Euro Area) +1 Forecast SD"
16,24.749336833151,4.34706492675755,29.0964017599085,"V2X","V2X (Euro Area) +1 Forecast SD"
17,24.498467640229,4.41358995453974,28.9120575947687,"V2X","V2X (Euro Area) +1 Forecast SD"
18,24.3166927745631,4.37441552308834,28.6911082976515,"V2X","V2X (Euro Area) +1 Forecast SD"
19,24.1943387071335,4.45297697829965,28.6473156854331,"V2X","V2X (Euro Area) +1 Forecast SD"
20,23.9958437656074,4.4437500176315,28.4395937832388,"V2X","V2X (Euro Area) +1 Forecast SD"
1,22.3834569520121,3.46876398307572,25.8522209350878,"IVIUK","IVIUK (UK) +1 Forecast SD"
2,22.2673381361528,3.42580028591983,25.6931384220726,"IVIUK","IVIUK (UK) +1 Forecast SD"
3,21.6744469732008,3.44001898207609,25.1144659552769,"IVIUK","IVIUK (UK) +1 Forecast SD"
4,21.6715365620926,3.48494602332408,25.1564825854167,"IVIUK","IVIUK (UK) +1 Forecast SD"
5,21.4388656270834,3.48845199350625,24.9273176205897,"IVIUK","IVIUK (UK) +1 Forecast SD"
6,21.2855491710054,3.51543609161424,24.8009852626197,"IVIUK","IVIUK (UK) +1 Forecast SD"
7,21.0605081767163,3.51395490195181,24.5744630786681,"IVIUK","IVIUK (UK) +1 Forecast SD"
8,20.8319950798569,3.55951557728356,24.3915106571405,"IVIUK","IVIUK (UK) +1 Forecast SD"
9,20.6104083841646,3.52506321104864,24.1354715952133,"IVIUK","IVIUK (UK) +1 Forecast SD"
10,20.5136822668645,3.56238752550369,24.0760697923682,"IVIUK","IVIUK (UK) +1 Forecast SD"
11,20.2809126262803,3.6068317297707,23.887744356051,"IVIUK","IVIUK (UK) +1 Forecast SD"
12,20.1178306068316,3.59571402019032,23.7135446270219,"IVIUK","IVIUK (UK) +1 Forecast SD"
13,19.9718674237636,3.65973634758157,23.6316037713452,"IVIUK","IVIUK (UK) +1 Forecast SD"
14,19.8439953118123,3.62249413492912,23.4664894467414,"IVIUK","IVIUK (UK) +1 Forecast SD"
15,19.714229401341,3.67803156483887,23.3922609661799,"IVIUK","IVIUK (UK) +1 Forecast SD"
16,19.5213886395175,3.70304292067584,23.2244315601933,"IVIUK","IVIUK (UK) +1 Forecast SD"
17,19.3314137525716,3.75015100635539,23.081564758927,"IVIUK","IVIUK (UK) +1 Forecast SD"
18,19.1778310386694,3.73514223046771,22.9129732691372,"IVIUK","IVIUK (UK) +1 Forecast SD"
19,19.043947767741,3.743499243984,22.787447011725,"IVIUK","IVIUK (UK) +1 Forecast SD"
20,18.9104348692644,3.77724717298842,22.6876820422528,"IVIUK","IVIUK (UK) +1 Forecast SD"
1,42.3746649048541,3.46842238889081,45.843087293745,"VNKY","VNKY (Japan) +1 Forecast SD"
2,42.752985445421,3.51161123131072,46.2645966767317,"VNKY","VNKY (Japan) +1 Forecast SD"
3,40.3163771774221,3.46900734942619,43.7853845268483,"VNKY","VNKY (Japan) +1 Forecast SD"
4,40.2832813112578,3.54407320794803,43.8273545192059,"VNKY","VNKY (Japan) +1 Forecast SD"
5,40.0377921701306,3.52989488172935,43.56768705186,"VNKY","VNKY (Japan) +1 Forecast SD"
6,39.3379768487724,3.53841319546055,42.876390044233,"VNKY","VNKY (Japan) +1 Forecast SD"
7,38.8949296911186,3.56048643779073,42.4554161289094,"VNKY","VNKY (Japan) +1 Forecast SD"
8,38.2129243076088,3.60926159641155,41.8221859040204,"VNKY","VNKY (Japan) +1 Forecast SD"
9,37.6038913878949,3.59341175059462,41.1973031384895,"VNKY","VNKY (Japan) +1 Forecast SD"
10,37.221581061197,3.6018200597686,40.8234011209656,"VNKY","VNKY (Japan) +1 Forecast SD"
11,36.6655546598693,3.651272391431,40.3168270513003,"VNKY","VNKY (Japan) +1 Forecast SD"
12,36.1207168198603,3.67139042086222,39.7921072407225,"VNKY","VNKY (Japan) +1 Forecast SD"
13,35.7437495663529,3.62590574158292,39.3696553079358,"VNKY","VNKY (Japan) +1 Forecast SD"
14,35.2966395070893,3.70363744356706,39.0002769506564,"VNKY","VNKY (Japan) +1 Forecast SD"
15,34.8495841487608,3.73468619886204,38.5842703476229,"VNKY","VNKY (Japan) +1 Forecast SD"
16,34.3773174090976,3.77061097316592,38.1479283822635,"VNKY","VNKY (Japan) +1 Forecast SD"
17,33.9783455407651,3.79408292618298,37.7724284669481,"VNKY","VNKY (Japan) +1 Forecast SD"
18,33.6010701867917,3.78621344637249,37.3872836331642,"VNKY","VNKY (Japan) +1 Forecast SD"
19,33.2116764973962,3.86973918239693,37.0814156797931,"VNKY","VNKY (Japan) +1 Forecast SD"
20,32.8336578929807,3.82513554506909,36.6587934380498,"VNKY","VNKY (Japan) +1 Forecast SD"
1,25.5847719068268,2.56562527214764,28.1503971789745,"VHSI","VHSI (Hong Kong) +1 Forecast SD"
2,25.3446397490638,2.57763618759585,27.9222759366596,"VHSI","VHSI (Hong Kong) +1 Forecast SD"
3,24.3977150084963,2.58130225229949,26.9790172607958,"VHSI","VHSI (Hong Kong) +1 Forecast SD"
4,24.4158176265511,2.61244112965344,27.0282587562045,"VHSI","VHSI (Hong Kong) +1 Forecast SD"
5,24.3285406552001,2.62984650892781,26.9583871641279,"VHSI","VHSI (Hong Kong) +1 Forecast SD"
6,24.0675828383647,2.65534407022234,26.7229269085871,"VHSI","VHSI (Hong Kong) +1 Forecast SD"
7,23.8677185783407,2.64364772897703,26.5113663073177,"VHSI","VHSI (Hong Kong) +1 Forecast SD"
8,23.5136222467018,2.66549798740653,26.1791202341083,"VHSI","VHSI (Hong Kong) +1 Forecast SD"
9,23.2640973280132,2.68656726616895,25.9506645941821,"VHSI","VHSI (Hong Kong) +1 Forecast SD"
10,23.1112905945784,2.69793044895053,25.8092210435289,"VHSI","VHSI (Hong Kong) +1 Forecast SD"
11,22.8451552175033,2.76080104091441,25.6059562584177,"VHSI","VHSI (Hong Kong) +1 Forecast SD"
12,22.6531933017508,2.76078435641253,25.4139776581633,"VHSI","VHSI (Hong Kong) +1 Forecast SD"
13,22.4783645997,2.75996373711167,25.2383283368117,"VHSI","VHSI (Hong Kong) +1 Forecast SD"
14,22.2929577183179,2.83766052492281,25.1306182432408,"VHSI","VHSI (Hong Kong) +1 Forecast SD"
15,22.1370469879311,2.83502880355612,24.9720757914872,"VHSI","VHSI (Hong Kong) +1 Forecast SD"
16,21.9633373582487,2.863823122241,24.8271604804897,"VHSI","VHSI (Hong Kong) +1 Forecast SD"
17,21.7442934940002,2.91027258853804,24.6545660825382,"VHSI","VHSI (Hong Kong) +1 Forecast SD"
18,21.6364595581821,2.91342693188556,24.5498864900676,"VHSI","VHSI (Hong Kong) +1 Forecast SD"
19,21.4993234299154,2.9527002909909,24.4520237209063,"VHSI","VHSI (Hong Kong) +1 Forecast SD"
20,21.3384994851704,2.96065195540853,24.2991514405789,"VHSI","VHSI (Hong Kong) +1 Forecast SD"
1,26.3361668386114,1.45001971294669,27.7861865515581,"INVIXN","INVIXN (India) +1 Forecast SD"
2,26.5915716762579,1.44648148613209,28.03805316239,"INVIXN","INVIXN (India) +1 Forecast SD"
3,25.7504217307621,1.45018362510826,27.2006053558703,"INVIXN","INVIXN (India) +1 Forecast SD"
4,25.5033963535748,1.4862073176413,26.9896036712161,"INVIXN","INVIXN (India) +1 Forecast SD"
5,25.3495029752167,1.48245906798693,26.8319620432036,"INVIXN","INVIXN (India) +1 Forecast SD"
6,25.0414384514093,1.51863193261351,26.5600703840229,"INVIXN","INVIXN (India) +1 Forecast SD"
7,24.7627787095893,1.51606408990065,26.27884279949,"INVIXN","INVIXN (India) +1 Forecast SD"
8,24.481200946312,1.57371891245827,26.0549198587703,"INVIXN","INVIXN (India) +1 Forecast SD"
9,24.2144925015451,1.58968156950325,25.8041740710483,"INVIXN","INVIXN (India) +1 Forecast SD"
10,23.9746157599883,1.62670553397909,25.6013212939674,"INVIXN","INVIXN (India) +1 Forecast SD"
11,23.6937133502913,1.66422579550795,25.3579391457992,"INVIXN","INVIXN (India) +1 Forecast SD"
12,23.4844145585738,1.68348650373288,25.1679010623067,"INVIXN","INVIXN (India) +1 Forecast SD"
13,23.2366222608098,1.70241993690596,24.9390421977157,"INVIXN","INVIXN (India) +1 Forecast SD"
14,23.0507507031207,1.74325132152364,24.7940020246443,"INVIXN","INVIXN (India) +1 Forecast SD"
15,22.8064537283942,1.78604766958499,24.5925013979792,"INVIXN","INVIXN (India) +1 Forecast SD"
16,22.6059259581527,1.83095168373254,24.4368776418852,"INVIXN","INVIXN (India) +1 Forecast SD"
17,22.365865466141,1.84396646539962,24.2098319315406,"INVIXN","INVIXN (India) +1 Forecast SD"
18,22.1375750522417,1.88478286395654,24.0223579161983,"INVIXN","INVIXN (India) +1 Forecast SD"
19,21.9576946744404,1.89612615637051,23.8538208308109,"INVIXN","INVIXN (India) +1 Forecast SD"
20,21.7474414004871,1.95705492029623,23.7044963207833,"INVIXN","INVIXN (India) +1 Forecast SD"
